series,target_beta,tau_norm,rho_star_norm,bracket_width_norm
beta=0.003,0.003,0.0,1.0,0.0005
beta=0.003,0.003,0.08,1.0,0.0005
beta=0.003,0.003,0.2,1.0,0.0005
beta=0.003,0.003,0.32,1.0,0.0005
beta=0.003,0.003,0.44,1.0,0.0005
beta=0.003,0.003,0.52,1.0,0.0005
beta=0.003,0.003,0.64,1.0,0.0005
beta=0.003,0.003,0.76,1.0,0.0005
beta=0.003,0.003,0.88,1.0,0.0005
beta=0.003,0.003,1.0,1.0,0.0005
beta=0.005,0.005,0.0,0.3119,0.0006
beta=0.005,0.005,0.08,0.3119,0.0006
beta=0.005,0.005,0.2,0.3119,0.0006
beta=0.005,0.005,0.32,0.3119,0.0006
beta=0.005,0.005,0.44,0.3119,0.0006
beta=0.005,0.005,0.52,0.3119,0.0006
beta=0.005,0.005,0.64,0.3119,0.0006
beta=0.005,0.005,0.76,0.3119,0.0006
beta=0.005,0.005,0.88,0.3119,0.0006
beta=0.005,0.005,1.0,0.3119,0.0006
beta=0.007,0.007,0.0,0.0,0.0006
beta=0.007,0.007,0.08,0.0,0.0006
beta=0.007,0.007,0.2,0.0,0.0006
beta=0.007,0.007,0.32,0.0,0.0006
beta=0.007,0.007,0.44,0.0,0.0006
beta=0.007,0.007,0.52,0.0,0.0006
beta=0.007,0.007,0.64,0.0,0.0006
beta=0.007,0.007,0.76,0.0,0.0006
beta=0.007,0.007,0.88,0.0,0.0006
beta=0.007,0.007,1.0,0.0,0.0006
